Website_ID,Domain,URL_Accessed,Audit_Status,Last_Error,Retry_Count,Audit_Level,Run_ID,Access_Date_UTC,Country_or_Market_Observed,Access_Locale,Browser,Headless_Audit,Cookie_Banner_Present,Banner_Type,Consent_Layer_Depth,CMP_Vendor,CMP_Evidence,IAB_TCF_Mentioned,TCF_Evidence,L1_Evidence_Quote,L1_Screenshot_Ref,L1_Accept_All_Present,L1_Reject_All_Present,L1_Manage_Preferences_Present,Accept_Click_Count,Reject_Click_Count,Manage_Click_Count,EE_Click_Asymmetry_RejectMinusAccept,EE_Hidden_Reject_Path,AE_Accept_Button_Prominence_1to3,AE_Reject_Button_Prominence_1to3,AE_Size_Asymmetry_LargerEqualSmaller,AE_Primary_Action_Is_Accept,L2_Available,L2_Evidence_Quote,L2_Screenshot_Ref,L2_Toggle_Count,L2_Vendor_Count,L2_Text_Word_Count,L2_Information_Density_Score_1to5,L2_Germane_Support_Score_1to5,CL_Toggle_Vendor_Complexity_Index,CL_Germane_Suppression_Indicators,AA_RePrompting_After_Reject,AA_RePrompt_Frequency_Observed,SP_Message_ID,SP_Campaign_ID,SP_Variant_Evidence,OT_Purpose_Count,OT_Vendor_Count,Evidence_JSON_Ref
ACLDP_0599,site-0599.invalid,https://site-0599.invalid,Completed,,1.0,L1,20260311T033428Z,2026-03-11T03:34:32Z,,en-US,Chromium,Yes,No,None,,Unknown,,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0599.json
ACLDP_0600,site-0600.invalid,https://site-0600.invalid,Completed,,1.0,L1,20260311T033428Z,2026-03-11T03:34:36Z,,en-US,Chromium,Yes,No,None,,Unknown,,Yes,HTML match: /tcstring/,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0600.json
ACLDP_0601,site-0601.invalid,https://site-0601.invalid,Completed,,1.0,L2,20260311T033428Z,2026-03-11T03:34:41Z,,en-US,Chromium,Yes,Yes,Banner,2.0,OneTrust,HTML match: /onetrust/,No,,"Hej! You are in control of your cookies. On our home page site-0601.invalid and our web pages on site-0601.invalid/global/en/, we use cookies and similar techniques. Functional cookies for essential website functionality are always active. They also remember your language and country and allow you to view videos. You may accept analytical cookies. These help us improve our website by collecting data on perf...",CookiesConsentDataset/screenshots/ACLDP_0601_L1.png,Yes,Yes,Yes,1.0,1.0,1.0,0.0,0.0,1.0,1.0,Equal,1.0,Yes,"Skip to main content Stories Jobs Newsroom Our business Go shopping Go shopping at IKEA dot c om/sa(English), or use the store selector to search for another store. site-0601.invalid/sa (en) Welcome to IKEA Global! Pause video IKEA Catalogue time capsule Rewind to the '90s Go shopping at IKEA dot c om/sa(English), or use the store selector to search for another store Go shopping Store: site-0601.invalid/sa (en) Sty...",CookiesConsentDataset/screenshots/ACLDP_0601_L2.png,0.0,0.0,805.0,3.0,3.0,0.0,0.0,1.0,Reload,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0601.json
ACLDP_0602,site-0602.invalid,https://site-0602.invalid,Completed,,1.0,L1,20260311T033428Z,2026-03-11T03:34:54Z,,en-US,Chromium,Yes,No,None,,Unknown,,Yes,HTML match: /tcstring/,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0602.json
ACLDP_0603,site-0603.invalid,https://site-0603.invalid,Completed,,1.0,L1,20260311T033428Z,2026-03-11T03:34:58Z,,en-US,Chromium,Yes,Yes,Modal,1.0,OneTrust,HTML match: /onetrust/,Yes,HTML match: /tcstring/,"OneTrust expands AI Governance to meet the demands of scalable, real‑time AI Learn more Solutions Platform Resources Company Request demo Contact Sales EN Continuous governance for AI. OneTrust is the AI-Ready Governance Platform™ built to prevent data misuse across your tech stack — enabling you to govern well and move fast. Watch demo Talk to sales The OneTrust AI-Ready Governance Platform™ Our ...",CookiesConsentDataset/screenshots/ACLDP_0603_L1.png,Yes,No,No,1.0,,,,,3.0,,,1.0,No,,,,,,,,,,1.0,Reload,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0603.json
ACLDP_0604,site-0604.invalid,https://site-0604.invalid,Completed,,1.0,L1,20260311T033428Z,2026-03-11T03:35:07Z,,en-US,Chromium,Yes,No,None,,Unknown,,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0604.json
ACLDP_0605,site-0605.invalid,https://site-0605.invalid,Completed,,1.0,L1,20260311T033428Z,2026-03-11T03:35:10Z,,en-US,Chromium,Yes,No,None,,Unknown,,Yes,HTML match: /__tcfapi/,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0605.json
ACLDP_0606,site-0606.invalid,https://site-0606.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:54:18Z,,en-US,Chromium,Yes,No,None,,Cookiebot,HTML match: /cookiebot/,Yes,HTML match: /\btcf\b/,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0606.json
ACLDP_0607,site-0607.invalid,https://site-0607.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:54:24Z,,en-US,Chromium,Yes,No,None,,OneTrust,HTML match: /onetrust/,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0607.json
ACLDP_0608,site-0608.invalid,https://site-0608.invalid,Completed,,0.0,L1,20260311T015418Z,2026-03-11T01:54:30Z,,en-US,Chromium,Yes,No,None,,Unknown,,No,,,,No,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,CookiesConsentDataset/evidence_json/ACLDP_0608.json
